"Methedology:
1. Open ADB website 
2. What We Do > Projects & Tenders 
3. Scroll down to 'Related Documents' > All sovereign projects from 2005 onwards (xls) 
4. Click/dowload 'ADB Sovereign Projects (CSV)'",,,,,,,,,,,,,,,,,,,,,
Project ID,Name,Country ,Financing,Project Type or Modality,Status,Approval Number,Approval Date,Approval Date (with filter),ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer,Is it livestock related? ,Does it Include Necesary Documents ,Summary
46049-002,Xinjiang Akesu Integrated Urban Development and Environment Improvement Project,"China, People's Republic of",Sovereign,Loan,Closed,3262,26/06/2015,6/26/2015,"150,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Transport | Water and other urban infrastructure and services",Water-based natural resources management | Urban roads and traffic management | Other urban services | Urban solid waste management,B,B,A,East Asia Department,Xinjiang Uygur Autonomous Region Government,"Xia, Heng",,,
46049-002,Xinjiang Akesu Integrated Urban Development and Environment Improvement Project,"China, People's Republic of",Sovereign,Loan,Closed,3262,26/06/2015,6/26/2015,"150,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Transport | Water and other urban infrastructure and services",Water-based natural resources management | Urban roads and traffic management | Other urban services | Urban solid waste management,B,B,A,East Asia Department,Xinjiang Uygur Autonomous Region Government,"Xia, Heng",,,
46049-002,Xinjiang Akesu Integrated Urban Development and Environment Improvement Project,"China, People's Republic of",Sovereign,Loan,Closed,3262,26/06/2015,6/26/2015,"150,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Transport | Water and other urban infrastructure and services",Water-based natural resources management | Urban roads and traffic management | Other urban services | Urban solid waste management,B,B,A,East Asia Department,Xinjiang Uygur Autonomous Region Government,"Xia, Heng",,,
46049-002,Xinjiang Akesu Integrated Urban Development and Environment Improvement Project,"China, People's Republic of",Sovereign,Loan,Closed,3262,26/06/2015,6/26/2015,"150,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Transport | Water and other urban infrastructure and services",Water-based natural resources management | Urban roads and traffic management | Other urban services | Urban solid waste management,B,B,A,East Asia Department,Xinjiang Uygur Autonomous Region Government,"Xia, Heng",,,
46049-002,Xinjiang Akesu Integrated Urban Development and Environment Improvement Project,"China, People's Republic of",Sovereign,Loan,Closed,3262,26/06/2015,6/26/2015,"150,000,000.00",Nation-wide,"Agriculture, natural resources and rural development | Transport | Water and other urban infrastructure and services",Water-based natural resources management | Urban roads and traffic management | Other urban services | Urban solid waste management,B,B,A,East Asia Department,Xinjiang Uygur Autonomous Region Government,"Xia, Heng",,,
38411-043,Orissa Integrated Irrigated Agriculture and Water Management Investment Program - Project 2,India,Sovereign,Loan,Closed,3265,30/06/2015,6/30/2015,"120,000,000.00","Anandpur, Baitarani River, Brahmani River, Burhabalanga, Cuttack, Deogarh, Jagatsinghpur, Kendrapara, Mahanadi Delta, Odisha, Subarnarekha River, Udala","Agriculture, natural resources and rural development","Agricultural drainage | Agricultural production | Irrigation | Rural flood protection | Rural water policy, institutional and capacity development",B,B,A,South Asia Department,"Department of Water Resources, Gov't of Odisha","Yadav, Rajesh",,,
43166-012,Advanced Project Preparedness for Poverty Reduction (Cluster TA),India,Sovereign,Technical Assistance,Closed,3,31/08/2009,8/31/2009,0,,"Agriculture, natural resources and rural development | Energy | Public sector management | Transport | Water and other urban infrastructure and services",Rural water supply services | Electricity transmission and distribution | Energy efficiency and conservation | Public expenditure and fiscal management | Road transport (non-urban) | Urban water supply,,,,South Asia Department,"Department of Economic Affairs, Ministry of Finance","Iyengar, Kavita Srinivas",,,
43166-012,Advanced Project Preparedness for Poverty Reduction (Cluster TA),India,Sovereign,Technical Assistance,Closed,3,31/08/2009,8/31/2009,0,,"Agriculture, natural resources and rural development | Energy | Public sector management | Transport | Water and other urban infrastructure and services",Rural water supply services | Electricity transmission and distribution | Energy efficiency and conservation | Public expenditure and fiscal management | Road transport (non-urban) | Urban water supply,,,,South Asia Department,"Department of Economic Affairs, Ministry of Finance","Iyengar, Kavita Srinivas",,,
43166-012,Advanced Project Preparedness for Poverty Reduction (Cluster TA),India,Sovereign,Technical Assistance,Closed,3,31/08/2009,8/31/2009,0,,"Agriculture, natural resources and rural development | Energy | Public sector management | Transport | Water and other urban infrastructure and services",Rural water supply services | Electricity transmission and distribution | Energy efficiency and conservation | Public expenditure and fiscal management | Road transport (non-urban) | Urban water supply,,,,South Asia Department,"Department of Economic Affairs, Ministry of Finance","Iyengar, Kavita Srinivas",,,
43166-012,Advanced Project Preparedness for Poverty Reduction (Cluster TA),India,Sovereign,Technical Assistance,Closed,3,31/08/2009,8/31/2009,0,,"Agriculture, natural resources and rural development | Energy | Public sector management | Transport | Water and other urban infrastructure and services",Rural water supply services | Electricity transmission and distribution | Energy efficiency and conservation | Public expenditure and fiscal management | Road transport (non-urban) | Urban water supply,,,,South Asia Department,"Department of Economic Affairs, Ministry of Finance","Iyengar, Kavita Srinivas",,,
43166-012,Advanced Project Preparedness for Poverty Reduction (Cluster TA),India,Sovereign,Technical Assistance,Closed,3,31/08/2009,8/31/2009,0,,"Agriculture, natural resources and rural development | Energy | Public sector management | Transport | Water and other urban infrastructure and services",Rural water supply services | Electricity transmission and distribution | Energy efficiency and conservation | Public expenditure and fiscal management | Road transport (non-urban) | Urban water supply,,,,South Asia Department,"Department of Economic Affairs, Ministry of Finance","Iyengar, Kavita Srinivas",,,
49038-001,Flood Emergency Reconstruction and Resilience Project,Pakistan,Sovereign,Loan | Technical Assistance,Closed,3264 | 8912,30/06/2015,6/30/2015,"220,040,000.00","Azad Kashmir, Punjab","Agriculture, natural resources and rural development | Transport",Rural flood protection | Road transport (non-urban),B,C,B,Central and West Asia Department,Ministry of Kashmir Affairs and Northern Areas,"Shafi, Mian S.",,,
38411-043,Orissa Integrated Irrigated Agriculture and Water Management Investment Program - Project 2,India,Sovereign,Loan,Closed,3265,30/06/2015,6/30/2015,"120,000,000.00","Anandpur, Baitarani River, Brahmani River, Burhabalanga, Cuttack, Deogarh, Jagatsinghpur, Kendrapara, Mahanadi Delta, Odisha, Subarnarekha River, Udala","Agriculture, natural resources and rural development","Agricultural drainage | Agricultural production | Irrigation | Rural flood protection | Rural water policy, institutional and capacity development",B,B,A,South Asia Department,"Department of Water Resources, Gov't of Odisha","Yadav, Rajesh",,,
49038-001,Flood Emergency Reconstruction and Resilience Project,Pakistan,Sovereign,Loan | Technical Assistance,Closed,3264 | 8912,30/06/2015,6/30/2015,"220,040,000.00","Azad Kashmir, Punjab","Agriculture, natural resources and rural development | Transport",Rural flood protection | Road transport (non-urban),B,C,B,Central and West Asia Department,Ministry of Kashmir Affairs and Northern Areas,"Shafi, Mian S.",,,
38411-043,Orissa Integrated Irrigated Agriculture and Water Management Investment Program - Project 2,India,Sovereign,Loan,Closed,3265,30/06/2015,6/30/2015,"120,000,000.00","Anandpur, Baitarani River, Brahmani River, Burhabalanga, Cuttack, Deogarh, Jagatsinghpur, Kendrapara, Mahanadi Delta, Odisha, Subarnarekha River, Udala","Agriculture, natural resources and rural development","Agricultural drainage | Agricultural production | Irrigation | Rural flood protection | Rural water policy, institutional and capacity development",B,B,A,South Asia Department,"Department of Water Resources, Gov't of Odisha","Yadav, Rajesh",,,
49038-001,Flood Emergency Reconstruction and Resilience Project,Pakistan,Sovereign,Loan | Technical Assistance,Closed,3264 | 8912,30/06/2015,6/30/2015,"220,040,000.00","Azad Kashmir, Punjab","Agriculture, natural resources and rural development | Transport",Rural flood protection | Road transport (non-urban),B,C,B,Central and West Asia Department,Ministry of Kashmir Affairs and Northern Areas,"Shafi, Mian S.",,,
38411-043,Orissa Integrated Irrigated Agriculture and Water Management Investment Program - Project 2,India,Sovereign,Loan,Closed,3265,30/06/2015,6/30/2015,"120,000,000.00","Anandpur, Baitarani River, Brahmani River, Burhabalanga, Cuttack, Deogarh, Jagatsinghpur, Kendrapara, Mahanadi Delta, Odisha, Subarnarekha River, Udala","Agriculture, natural resources and rural development","Agricultural drainage | Agricultural production | Irrigation | Rural flood protection | Rural water policy, institutional and capacity development",B,B,A,South Asia Department,"Department of Water Resources, Gov't of Odisha","Yadav, Rajesh",,,
49038-001,Flood Emergency Reconstruction and Resilience Project,Pakistan,Sovereign,Loan | Technical Assistance,Closed,3264 | 8912,30/06/2015,6/30/2015,"220,040,000.00","Azad Kashmir, Punjab","Agriculture, natural resources and rural development | Transport",Rural flood protection | Road transport (non-urban),B,C,B,Central and West Asia Department,Ministry of Kashmir Affairs and Northern Areas,"Shafi, Mian S.",,,
38411-043,Orissa Integrated Irrigated Agriculture and Water Management Investment Program - Project 2,India,Sovereign,Loan,Closed,3265,30/06/2015,6/30/2015,"120,000,000.00","Anandpur, Baitarani River, Brahmani River, Burhabalanga, Cuttack, Deogarh, Jagatsinghpur, Kendrapara, Mahanadi Delta, Odisha, Subarnarekha River, Udala","Agriculture, natural resources and rural development","Agricultural drainage | Agricultural production | Irrigation | Rural flood protection | Rural water policy, institutional and capacity development",B,B,A,South Asia Department,"Department of Water Resources, Gov't of Odisha","Yadav, Rajesh",,,
49038-001,Flood Emergency Reconstruction and Resilience Project,Pakistan,Sovereign,Loan | Technical Assistance,Closed,3264 | 8912,30/06/2015,6/30/2015,"220,040,000.00","Azad Kashmir, Punjab","Agriculture, natural resources and rural development | Transport",Rural flood protection | Road transport (non-urban),B,C,B,Central and West Asia Department,Ministry of Kashmir Affairs and Northern Areas,"Shafi, Mian S.",,,
47381-002,Mahaweli Water Security Investment Program - Tranche 1,Sri Lanka,Sovereign,Loan,Active,3267 | 3268,02/07/2015,7/2/2015,"150,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development",Irrigation | Water-based natural resources management,A,C,B,Sectors Group,"Ministry Agriculture, Livestock, Lands & Irrigation","Dabare, Krishanthi",,,
48443-003,Hunan Xiangjiang River Watershed Existing Solid Waste Comprehensive Treatment,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8919,02/07/2015,7/2/2015,"700,000.00",Changsha,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Rural solid waste management | Urban solid waste management,,,,East Asia Department,Hunan Provincial Housing & Urban-Rural Dev't Dept.,"Baird, Alan",,,
47381-002,Mahaweli Water Security Investment Program - Tranche 1,Sri Lanka,Sovereign,Loan,Active,3267 | 3268,02/07/2015,7/2/2015,"150,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development",Irrigation | Water-based natural resources management,A,C,B,Sectors Group,"Ministry Agriculture, Livestock, Lands & Irrigation","Dabare, Krishanthi",,,
48443-003,Hunan Xiangjiang River Watershed Existing Solid Waste Comprehensive Treatment,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8919,02/07/2015,7/2/2015,"700,000.00",Changsha,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Rural solid waste management | Urban solid waste management,,,,East Asia Department,Hunan Provincial Housing & Urban-Rural Dev't Dept.,"Baird, Alan",,,
47381-002,Mahaweli Water Security Investment Program - Tranche 1,Sri Lanka,Sovereign,Loan,Active,3267 | 3268,02/07/2015,7/2/2015,"150,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development",Irrigation | Water-based natural resources management,A,C,B,Sectors Group,"Ministry Agriculture, Livestock, Lands & Irrigation","Dabare, Krishanthi",,,
48443-003,Hunan Xiangjiang River Watershed Existing Solid Waste Comprehensive Treatment,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8919,02/07/2015,7/2/2015,"700,000.00",Changsha,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Rural solid waste management | Urban solid waste management,,,,East Asia Department,Hunan Provincial Housing & Urban-Rural Dev't Dept.,"Baird, Alan",,,
47381-002,Mahaweli Water Security Investment Program - Tranche 1,Sri Lanka,Sovereign,Loan,Active,3267 | 3268,02/07/2015,7/2/2015,"150,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development",Irrigation | Water-based natural resources management,A,C,B,Sectors Group,"Ministry Agriculture, Livestock, Lands & Irrigation","Dabare, Krishanthi",,,
48443-003,Hunan Xiangjiang River Watershed Existing Solid Waste Comprehensive Treatment,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8919,02/07/2015,7/2/2015,"700,000.00",Changsha,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Rural solid waste management | Urban solid waste management,,,,East Asia Department,Hunan Provincial Housing & Urban-Rural Dev't Dept.,"Baird, Alan",,,
47381-002,Mahaweli Water Security Investment Program - Tranche 1,Sri Lanka,Sovereign,Loan,Active,3267 | 3268,02/07/2015,7/2/2015,"150,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development",Irrigation | Water-based natural resources management,A,C,B,Sectors Group,"Ministry Agriculture, Livestock, Lands & Irrigation","Dabare, Krishanthi",,,
48443-003,Hunan Xiangjiang River Watershed Existing Solid Waste Comprehensive Treatment,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8919,02/07/2015,7/2/2015,"700,000.00",Changsha,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Rural solid waste management | Urban solid waste management,,,,East Asia Department,Hunan Provincial Housing & Urban-Rural Dev't Dept.,"Baird, Alan",,,
47381-002,Mahaweli Water Security Investment Program - Tranche 1,Sri Lanka,Sovereign,Loan,Active,3267 | 3268,02/07/2015,7/2/2015,"150,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development",Irrigation | Water-based natural resources management,A,C,B,Sectors Group,"Ministry Agriculture, Livestock, Lands & Irrigation","Dabare, Krishanthi",,,
48443-003,Hunan Xiangjiang River Watershed Existing Solid Waste Comprehensive Treatment,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8919,02/07/2015,7/2/2015,"700,000.00",Changsha,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Rural solid waste management | Urban solid waste management,,,,East Asia Department,Hunan Provincial Housing & Urban-Rural Dev't Dept.,"Baird, Alan",,,
49029-001,Xinjiang Changji Integrated Urban-Rural Infrastructure Demonstration,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8922,06/07/2015,7/6/2015,"650,000.00","Fukang Shi, Hutubi Xian, Qitai Xian","Agriculture, natural resources and rural development | Education | Energy | Transport | Water and other urban infrastructure and services","Rural sanitation | Rural water supply services | Technical and vocational education and training | Energy utility services | Urban roads and traffic management | Other urban services | Urban policy, institutional and capacity development | Urban sewerage | Urban solid waste management | Urban water supply",,,,East Asia Department,Xinjiang Uygur Autonomous Region Government,"Maruyama, Hinako",,,
49029-001,Xinjiang Changji Integrated Urban-Rural Infrastructure Demonstration,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8922,06/07/2015,7/6/2015,"650,000.00","Fukang Shi, Hutubi Xian, Qitai Xian","Agriculture, natural resources and rural development | Education | Energy | Transport | Water and other urban infrastructure and services","Rural sanitation | Rural water supply services | Technical and vocational education and training | Energy utility services | Urban roads and traffic management | Other urban services | Urban policy, institutional and capacity development | Urban sewerage | Urban solid waste management | Urban water supply",,,,East Asia Department,Xinjiang Uygur Autonomous Region Government,"Maruyama, Hinako",,,
49029-001,Xinjiang Changji Integrated Urban-Rural Infrastructure Demonstration,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8922,06/07/2015,7/6/2015,"650,000.00","Fukang Shi, Hutubi Xian, Qitai Xian","Agriculture, natural resources and rural development | Education | Energy | Transport | Water and other urban infrastructure and services","Rural sanitation | Rural water supply services | Technical and vocational education and training | Energy utility services | Urban roads and traffic management | Other urban services | Urban policy, institutional and capacity development | Urban sewerage | Urban solid waste management | Urban water supply",,,,East Asia Department,Xinjiang Uygur Autonomous Region Government,"Maruyama, Hinako",,,
49029-001,Xinjiang Changji Integrated Urban-Rural Infrastructure Demonstration,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8922,06/07/2015,7/6/2015,"650,000.00","Fukang Shi, Hutubi Xian, Qitai Xian","Agriculture, natural resources and rural development | Education | Energy | Transport | Water and other urban infrastructure and services","Rural sanitation | Rural water supply services | Technical and vocational education and training | Energy utility services | Urban roads and traffic management | Other urban services | Urban policy, institutional and capacity development | Urban sewerage | Urban solid waste management | Urban water supply",,,,East Asia Department,Xinjiang Uygur Autonomous Region Government,"Maruyama, Hinako",,,
49029-001,Xinjiang Changji Integrated Urban-Rural Infrastructure Demonstration,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8922,06/07/2015,7/6/2015,"650,000.00","Fukang Shi, Hutubi Xian, Qitai Xian","Agriculture, natural resources and rural development | Education | Energy | Transport | Water and other urban infrastructure and services","Rural sanitation | Rural water supply services | Technical and vocational education and training | Energy utility services | Urban roads and traffic management | Other urban services | Urban policy, institutional and capacity development | Urban sewerage | Urban solid waste management | Urban water supply",,,,East Asia Department,Xinjiang Uygur Autonomous Region Government,"Maruyama, Hinako",,,
49029-001,Xinjiang Changji Integrated Urban-Rural Infrastructure Demonstration,"China, People's Republic of",Sovereign,Technical Assistance,Closed,8922,06/07/2015,7/6/2015,"650,000.00","Fukang Shi, Hutubi Xian, Qitai Xian","Agriculture, natural resources and rural development | Education | Energy | Transport | Water and other urban infrastructure and services","Rural sanitation | Rural water supply services | Technical and vocational education and training | Energy utility services | Urban roads and traffic management | Other urban services | Urban policy, institutional and capacity development | Urban sewerage | Urban solid waste management | Urban water supply",,,,East Asia Department,Xinjiang Uygur Autonomous Region Government,"Maruyama, Hinako",,,
